term,pinyin,render,never_render_as,occurrences,chapters,glossary_entry
萬物,wàn wù,the countless things,the ten thousand things; all things; the myriad things; beings,20,"1,2,4,5,8,16,32,34,37,39,40,42,51,62,64,76",glossary/wanwu-萬物.md
無為,wú wéi,non-doing,non-action; effortless action; inaction; doing nothing,12,"2,3,10,37,38,43,48,57,63,64",glossary/wuwei-無為.md
天地,tiān dì,sky and earth,heaven and earth; the cosmos; the universe,9,"1,5,6,7,23,25,32",glossary/tiandi-天地.md
自然,zì rán,of itself / of themselves · so of itself,Nature; spontaneity; self-so,5,"17,23,25,51,64",glossary/ziran-自然.md
知足,zhī zú,knowing you have enough / contentment,sufficiency; fulfilled,4,"33,44,46",glossary/zhizu-知足.md
