character,pinyin,gloss,gloss_source,gloss_agreement,our_render,lock_status,never_render_as,occurrences,chapter_count,chapters,first_chapter,last_chapter,per_1000,glossary_entry
地,dì,earth,apparatus,5/7,,,,18,10,"1,5,6,7,8,23,25,32,39,50",1,50,3.4,
或,huò,sometimes,apparatus,7/10,,,,18,7,"4,24,29,31,42,61,73",4,73,3.4,
死,sǐ,,apparatus-split,1/2,,,,18,9,"6,33,42,50,67,74,75,76,80",6,80,3.4,
失,Shī,,apparatus-split,2/8,,,,17,8,"13,23,26,29,33,38,64,73",13,73,3.21,
成,chéng,,apparatus-split,2/4,,,,17,14,"2,7,15,17,25,34,41,45,47,51,63,64,67,77",2,77,3.21,
勝,Shèng,One who overcomes/defeats,apparatus,2/3,,,,16,11,"31,33,36,45,61,67,68,69,73,76,78",31,78,3.02,
唯,wéi,Agreement/yes,apparatus,1/1,,,,16,15,"2,8,15,20,22,41,42,53,59,67,70,71,72,75,77",2,77,3.02,
此,Cǐ,this,apparatus,4/6,,,,16,15,"1,12,14,15,19,21,23,38,39,54,57,62,65,72,73",1,73,3.02,
長,cháng,,apparatus-split,1/5,,,,16,12,"2,7,9,10,22,24,28,44,51,54,59,67",2,67,3.02,
一,yī,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,locked,,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,locked,the One; Oneness; the Absolute,15,8,"10,11,14,22,25,39,42,67",10,67,2.83,glossary/yi-一.md
信,xìn,trust / trustworthy,locked,,trust / trustworthy,locked,faith; sincerity; belief,15,8,"8,17,21,23,38,49,63,81",8,81,2.83,glossary/xin-信.md
復,Fù,,apparatus-split,1/3,,,,15,8,"14,16,19,28,52,58,64,80",14,80,2.83,
與,yǔ,,apparatus-split,2/4,,,,15,12,"8,20,22,35,36,44,65,66,68,77,79,81",8,81,2.83,
處,chǔ,,apparatus-split,2/4,,,,15,10,"2,8,24,26,30,31,38,66,76,77",2,77,2.83,
也,yě,particle,apparatus,3/4,,,,14,9,"3,20,24,29,32,53,55,67,76",3,76,2.64,
何,Hé,What,apparatus,3/3,,,,14,9,"13,20,21,26,50,54,57,62,74",13,74,2.64,
多,Duō,Many/much,apparatus,1/1,,,,14,8,"5,22,44,57,63,65,75,81",5,81,2.64,
必,bì,must,apparatus,1/1,,,,14,6,"30,36,44,63,66,79",30,79,2.64,
相,xiāng,,none,,,,,14,6,"2,20,32,60,69,80",2,80,2.64,
見,jiàn,,apparatus-split,3/7,,,,14,11,"3,14,19,22,24,29,35,47,52,72,77",3,77,2.64,
亦,yì,also,apparatus,4/4,,,,13,9,"23,25,32,37,42,49,50,60,65",23,65,2.45,
明,Míng,clear-seeing / clarity,locked,,clear-seeing / clarity,locked,enlightenment; illumination; brilliance,13,12,"10,16,22,24,27,33,36,41,47,52,55,65",10,65,2.45,glossary/ming-明.md
治,zhì,,apparatus-split,1/2,,,,13,9,"3,8,10,57,59,60,64,65,75",3,75,2.45,
王,wáng,ruler / sovereign · to rule (verb),locked,,ruler / sovereign · to rule (verb),locked, king; kings; monarch; emperor,13,8,"16,25,32,37,39,42,66,78",16,78,2.45,glossary/wang-王.md
難,nán,Hard,apparatus,1/1,,,,13,8,"2,3,12,63,64,65,73,75",2,75,2.45,
乃,nǎi,leads to,apparatus,5/6,,,,12,4,"16,28,54,65",16,65,2.27,
兵,bīng,,apparatus-split,1/2,,,,12,7,"30,31,50,57,69,76,80",30,80,2.27,
取,qǔ,,apparatus-split,1/3,,,,12,8,"12,29,30,38,48,57,61,72",12,72,2.27,
器,qì,vessel / tool / implement,locked,,vessel / tool / implement,locked,system; mechanism; machine; utensil,12,9,"11,28,29,31,36,41,57,67,80",11,80,2.27,glossary/qi-器.md
然,rán,,none,,,,,12,12,"17,23,25,26,51,53,54,57,64,65,73,77",17,77,2.27,
玄,xuán,dark or profound,locked,,dark or profound,locked,mystery; mysterious; the occult,12,7,"1,6,10,15,51,56,65",1,65,2.27,glossary/xuan-miao-玄妙.md
三,Sān,three,apparatus,2/2,,,,11,7,"11,14,19,42,50,62,67",11,67,2.08,
使,shǐ,,none,,,,,11,5,"3,53,55,74,80",3,80,2.08,
同,tóng,merge/identify,apparatus,2/3,,,,11,4,"1,4,23,56",1,56,2.08,
守,shǒu,,apparatus-split,3/6,,,,11,8,"5,9,16,28,32,37,52,67",5,67,2.08,
居,jū,,apparatus-split,2/5,,,,11,7,"2,8,25,31,38,72,80",2,80,2.08,
後,hòu,,apparatus-split,1/2,,,,11,8,"2,7,14,30,38,65,66,67",2,67,2.08,
易,yì,,none,,,,,11,5,"2,63,64,70,78",2,78,2.08,
柔,róu,suppleness/softness,apparatus,1/1,,,,11,7,"10,36,43,52,55,76,78",10,78,2.08,
歸,guī,return,apparatus,2/3,,,,11,8,"14,16,20,22,28,34,52,60",14,60,2.08,
久,jiǔ,,apparatus-split,1/4,,,,10,8,"7,16,23,33,44,58,59,67",7,67,1.89,
乎,hū,question particle,apparatus,1/1,,,,10,5,"5,10,23,35,39",5,39,1.89,
利,lì,advantage,covers,,advantage,locked,,10,9,"8,11,19,36,53,56,57,73,81",8,81,1.89,glossary/wu-you-無有.md
去,qù,,apparatus-split,2/5,,,,10,7,"2,12,20,21,29,38,72",2,72,1.89,
如,rú,Like,apparatus,3/4,,,,10,7,"5,9,10,20,39,62,64",5,64,1.89,
孰,Shú,Who,apparatus,3/3,,,,10,7,"15,23,44,58,73,74,77",15,77,1.89,
小,xiǎo,small,apparatus,1/1,,,,10,7,"32,34,52,60,61,63,80",32,80,1.89,
弱,ruò,yielding — and *weaken* only where it takes an object,locked,,yielding — and *weaken* only where it takes an object,locked,frail; feeble; feebleness; powerless,10,6,"3,36,40,55,76,78",3,78,1.89,glossary/ruo-弱.md
心,xīn,heart,locked,,heart,locked,mind; heart-mind; the wise core; consciousness,10,6,"3,8,12,20,49,55",3,55,1.89,glossary/xin-心.md
敢,gǎn,push / venture — the forward press to take,locked,,push / venture — the forward press to take,locked,dare; dares; dared; daring,10,7,"3,30,64,67,69,73,74",3,74,1.89,glossary/gan-敢.md
爭,zhēng,contend / contention,locked,,contend / contention,locked,compete; competes; competing; competition,10,7,"3,8,22,66,68,73,81",3,81,1.89,glossary/zheng-爭.md
矣,yǐ,particle,apparatus,1/1,,,,10,7,"31,46,63,65,67,69,74",31,74,1.89,
終,zhōng,last the whole,apparatus,2/3,,,,10,7,"23,26,34,52,55,63,64",23,64,1.89,
谷,Gǔ,,apparatus-split,2/4,,,,10,7,"6,15,28,32,39,41,66",6,66,1.89,
靜,jìng,,apparatus-split,1/4,,,,10,7,"15,16,26,37,45,57,61",15,61,1.89,
非,fēi,they are not,apparatus,1/1,,,,10,7,"1,7,31,39,53,60,65",1,65,1.89,
執,Zhí,,apparatus-split,1/2,,,,9,7,"14,29,35,64,69,74,79",14,79,1.7,
