character,pinyin,gloss,gloss_source,gloss_agreement,our_render,lock_status,never_render_as,occurrences,chapter_count,chapters,first_chapter,last_chapter,per_1000,glossary_entry
好,hào,prone to/tend to,apparatus,1/1,,,,3,3,"30,53,57",30,57,0.57,
嬰,yīng,,none,,,,,3,3,"10,20,28",10,28,0.57,
客,kè,guest,apparatus,1/1,,,,3,3,"15,35,69",15,69,0.57,
富,fù,,apparatus-split,1/2,,,,3,3,"9,33,57",9,57,0.57,
寶,bǎo,,none,,,,,3,3,"62,67,69",62,69,0.57,
尊,zūn,,none,,,,,3,2,"51,62",51,62,0.57,
巧,qiǎo,skill/cunning,apparatus,1/1,,,,3,3,"19,45,57",19,57,0.57,
師,shī,teacher/master,apparatus,2/2,,,,3,2,"27,30",27,30,0.57,
廣,Guǎng,,none,,,,,3,2,"41,67",41,67,0.57,
建,jiàn,,none,,,,,3,2,"41,54",41,54,0.57,
彌,mí,,none,,,,,3,2,"47,57",47,57,0.57,
形,xíng,,none,,,,,3,3,"2,41,51",2,51,0.57,
彰,zhāng,prominent/manifest,apparatus,2/2,,,,3,3,"22,24,57",22,57,0.57,
彼,bǐ,that,apparatus,1/1,,,,3,3,"12,38,72",12,72,0.57,
往,wang,,none,,,,,3,2,"35,80",35,80,0.57,
從,cóng,,apparatus-split,1/2,,,,3,3,"21,23,64",21,64,0.57,
志,zhì,,apparatus-split,1/2,,,,3,3,"3,31,33",3,33,0.57,
怨,yuàn,,none,,,,,3,2,"63,79",63,79,0.57,
惟,wéi,,apparatus-split,1/2,,,,3,1,21,21,21,0.57,
愈,yù,,none,,,,,3,2,"5,81",5,81,0.57,
愚,yú,,none,,,,,3,3,"20,38,65",20,65,0.57,
戰,zhàn,,none,,,,,3,3,"31,67,68",31,68,0.57,
持,Chí,Holding/grasping,apparatus,1/1,,,,3,3,"9,64,67",9,67,0.57,
挫,Cuò,supported/safe,apparatus,1/1,,,,3,3,"4,29,56",4,56,0.57,
捨,shě,,none,,,,,3,1,67,67,67,0.57,
政,zhèng,in governing,apparatus,1/1,,,,3,2,"8,58",8,58,0.57,
木,mù,,none,,,,,3,2,"64,76",64,76,0.57,
本,běn,root/foundation,apparatus,1/1,,,,3,2,"26,39",26,39,0.57,
次,cì,,none,,,,,3,1,17,17,17,0.57,
歙,xì,,none,,,,,3,2,"36,49",36,49,0.57,
氣,qì,vital breath,apparatus,1/1,,,,3,3,"10,42,55",10,55,0.57,
水,shuǐ,water,apparatus,1/1,,,,3,2,"8,78",8,78,0.57,
沖,chōng,,none,,,,,3,3,"4,42,45",4,45,0.57,
海,hǎi,sea,apparatus,1/1,,,,3,3,"20,32,66",20,66,0.57,
深,Shēn,So deep,apparatus,1/1,,,,3,3,"15,59,65",15,65,0.57,
淵,Yuān,good at depth/abyss,apparatus,1/1,,,,3,3,"4,8,36",4,36,0.57,
混,hùn,,apparatus-split,1/3,,,,3,3,"14,15,25",14,25,0.57,
滋,zī,,none,,,,,3,1,57,57,57,0.57,
狀,zhuàng,shape/form,apparatus,2/3,,,,3,2,"14,21",14,21,0.57,
玉,yù,jade,apparatus,1/1,,,,3,3,"9,39,70",9,70,0.57,
當,dāng,just at,apparatus,1/1,,,,3,1,11,11,11,0.57,
白,bái,white/light,apparatus,1/1,,,,3,3,"10,28,41",10,41,0.57,
目,mù,eyes,apparatus,2/2,,,,3,2,"12,49",12,49,0.57,
直,zhí,straight,apparatus,1/1,,,,3,3,"22,45,58",22,58,0.57,
真,zhēn,real/true,apparatus,1/1,,,,3,3,"21,41,54",21,54,0.57,
矜,jīn,,apparatus-split,1/3,,,,3,3,"22,24,30",22,30,0.57,
福,fú,,none,,,,,3,2,"58,65",58,65,0.57,
私,sī,the private / the private self,covers,,the private / the private self,locked,,3,2,"7,19",7,19,0.57,glossary/gong-公.md
積,jī,,none,,,,,3,2,"59,81",59,81,0.57,
立,lì,,apparatus-split,1/2,,,,3,3,"24,25,62",24,62,0.57,
精,jīng,vital essence / essence,locked,,vital essence / essence,locked,primordial mass; soul; spirit,3,2,"21,55",21,55,0.57,glossary/jing-精.md
細,xì,,none,,,,,3,2,"63,67",63,67,0.57,
缺,quē,,none,,,,,3,2,"45,58",45,58,0.57,
老,lǎo,age/decay,apparatus,1/1,,,,3,3,"30,55,80",30,80,0.57,
聲,shēng,,none,,,,,3,3,"2,41,80",2,80,0.57,
肖,xiào,,none,,,,,3,1,67,67,67,0.57,
視,Shì,Looking at,apparatus,1/1,,,,3,3,"14,35,59",14,59,0.57,
解,jiě,untied,apparatus,1/1,,,,3,3,"4,27,56",4,56,0.57,
識,shí,,apparatus-split,1/2,,,,3,2,"15,38",15,38,0.57,
譽,yù,praise,apparatus,1/1,,,,3,2,"17,39",17,39,0.57,
賊,zéi,robbers,apparatus,1/1,,,,3,3,"19,57,65",19,65,0.57,
賢,xián,,none,,,,,3,3,"3,75,77",3,77,0.57,
賤,jiàn,,none,,,,,3,2,"39,56",39,56,0.57,
躁,zào,Restless/agitated,apparatus,1/1,,,,3,2,"26,45",26,45,0.57,
辯,biàn,,none,,,,,3,2,"45,81",45,81,0.57,
退,tuì,retreats/retires,apparatus,1/1,,,,3,3,"9,41,69",9,69,0.57,
進,jìn,,none,,,,,3,3,"41,62,69",41,69,0.57,
遺,yí,be left behind/lacking,apparatus,1/1,,,,3,3,"9,20,52",9,52,0.57,
邦,bāng,,none,,,,,3,1,54,54,54,0.57,
邪,xié,,none,,,,,3,3,"7,39,62",7,62,0.57,
鄉,xiāng,,none,,,,,3,1,54,54,54,0.57,
銳,ruì,sharpening,apparatus,1/1,,,,3,3,"4,9,56",4,56,0.57,
閉,bì,closing,apparatus,1/1,,,,3,3,"27,52,56",27,56,0.57,
開,kāi,,apparatus-split,1/2,,,,3,3,"10,27,52",10,52,0.57,
隨,suí,,apparatus-split,1/2,,,,3,3,"2,14,29",2,29,0.57,
離,lí,,apparatus-split,1/3,,,,3,3,"10,26,28",10,28,0.57,
音,yīn,tones/notes,apparatus,1/1,,,,3,3,"2,12,41",2,41,0.57,
馬,mǎ,,none,,,,,3,2,"46,62",46,62,0.57,
乘,shèng,,none,,,,,2,2,"26,80",26,80,0.38,
云,yún,,none,,,,,2,2,"57,78",57,78,0.38,
交,jiāo,,none,,,,,2,2,"60,61",60,61,0.38,
來,lái,,none,,,,,2,2,"73,80",73,80,0.38,
傫,Lěi,,none,,,,,2,1,20,20,20,0.38,
兆,zhào,showing signs/omens,apparatus,1/1,,,,2,2,"20,64",20,64,0.38,
克,kè,,none,,,,,2,1,59,59,59,0.38,
兕,sì,,none,,,,,2,1,50,50,50,0.38,
制,zhì,System/Administrator,apparatus,1/1,,,,2,2,"28,32",28,32,0.38,
剛,gāng,,none,,,,,2,2,"36,78",36,78,0.38,
割,gē,cut/carve,apparatus,1/1,,,,2,2,"28,58",28,58,0.38,
力,lì,force,covers,,force,locked,,2,2,"33,68",33,68,0.38,glossary/qiang-強.md
匠,jiàng,,none,,,,,2,1,74,74,74,0.38,
博,bó,,none,,,,,2,1,81,81,81,0.38,
又,yòu,,none,,,,,2,2,"1,48",1,48,0.38,
受,shòu,,none,,,,,2,1,78,78,78,0.38,
口,kǒu,mouths,apparatus,1/1,,,,2,2,"12,35",12,35,0.38,
各,Gè,Each,apparatus,1/1,,,,2,2,"16,61",16,61,0.38,
咎,jiù,disaster/blame,apparatus,1/1,,,,2,2,"9,46",9,46,0.38,
哀,āi,grief,apparatus,1/1,,,,2,2,"31,69",31,69,0.38,
嗇,sè,,none,,,,,2,1,59,59,59,0.38,
塞,Sè,,none,,,,,2,2,"52,56",52,56,0.38,
塵,chén,,none,,,,,2,2,"4,56",4,56,0.38,
壯,zhuàng,reaching peak strength,apparatus,1/1,,,,2,2,"30,55",30,55,0.38,
奈,Nài,,none,,,,,2,2,"26,74",26,74,0.38,
奉,fèng,,none,,,,,2,1,77,77,77,0.38,
契,qì,,none,,,,,2,1,79,79,79,0.38,
威,wēi,,none,,,,,2,1,72,72,72,0.38,
孝,xiào,devotion,covers,,devotion,locked,,2,2,"18,19",18,19,0.38,glossary/ci-慈.md
孤,gū,,none,,,,,2,2,"39,42",39,42,0.38,
孩,hái,smiled/giggled,apparatus,1/1,,,,2,2,"20,49",20,49,0.38,
宗,zōng,,none,,,,,2,2,"4,70",4,70,0.38,
室,shì,,apparatus-split,1/2,,,,2,1,11,11,11,0.38,
宰,zǎi,but not dominating/ruling,apparatus,1/1,,,,2,2,"10,51",10,51,0.38,
實,shí,,none,,,,,2,2,"3,38",3,38,0.38,
寧,níng,,none,,,,,2,1,39,39,39,0.38,
屈,qū,,none,,,,,2,2,"5,45",5,45,0.38,
川,chuān,river,apparatus,1/1,,,,2,2,"15,32",15,32,0.38,
己,jǐ,,none,,,,,2,1,81,81,81,0.38,
廢,fèi,abandoned/abolished,apparatus,1/1,,,,2,2,"18,36",18,36,0.38,
張,zhāng,,none,,,,,2,2,"36,77",36,77,0.38,
徐,xú,slowly,apparatus,2/2,,,,2,1,15,15,15,0.38,
忠,zhōng,loyalty,covers,,loyalty,locked,,2,2,"18,38",18,38,0.38,glossary/xin-信.md
恢,huī,,none,,,,,2,1,73,73,73,0.38,
應,yìng,,none,,,,,2,2,"38,73",38,73,0.38,
戶,hù,doors,apparatus,1/1,,,,2,2,"11,47",11,47,0.38,
扔,rēng,,none,,,,,2,2,"38,69",38,69,0.38,
搏,Bó,Grasping/reaching for,apparatus,1/1,,,,2,2,"14,55",14,55,0.38,
攘,rǎng,,none,,,,,2,2,"38,69",38,69,0.38,
散,sàn,scatters/is cut,apparatus,1/1,,,,2,2,"28,64",28,64,0.38,
數,shù,,none,,,,,2,2,"5,39",5,39,0.38,
文,wén,culture/adornment,apparatus,1/1,,,,2,2,"19,53",19,53,0.38,
斫,zhuó,,none,,,,,2,1,74,74,74,0.38,
斯,sī,,none,,,,,2,1,2,2,2,0.38,
新,xīn,,apparatus-split,1/2,,,,2,2,"15,22",15,22,0.38,
方,fāng,,none,,,,,2,2,"41,58",41,58,0.38,
昧,mèi,dark/obscure,apparatus,1/1,,,,2,2,"14,41",14,41,0.38,
昭,zhāo,,none,,,,,2,1,20,20,20,0.38,
曲,Qū,bend / bent,covers,,bend / bent,locked,,2,1,22,22,22,0.38,glossary/quan-全.md
朝,zhāo,morning,apparatus,1/1,,,,2,2,"23,53",23,53,0.38,
榮,róng,,apparatus-split,1/2,,,,2,2,"26,28",26,28,0.38,
毒,dú,,none,,,,,2,2,"51,55",51,55,0.38,
求,qiú,,none,,,,,2,2,"62,75",62,75,0.38,
江,jiāng,,none,,,,,2,2,"32,66",32,66,0.38,
沌,Dùn,,none,,,,,2,1,20,20,20,0.38,
没,Mò,,none,,,,,2,2,"16,52",16,52,0.38,
淡,dàn,,none,,,,,2,2,"31,35",31,35,0.38,
淳,chún,,none,,,,,2,1,58,58,58,0.38,
濁,zhuó,,apparatus-split,1/2,,,,2,1,15,15,15,0.38,
熙,xī,,none,,,,,2,1,20,20,20,0.38,
牖,yǒu,windows,apparatus,1/1,,,,2,2,"11,47",11,47,0.38,
牡,mǔ,,none,,,,,2,2,"55,61",55,61,0.38,
狗,gǒu,,none,,,,,2,1,5,5,5,0.38,
珞,Luò,,none,,,,,2,1,39,39,39,0.38,
琭,lù,,none,,,,,2,1,39,39,39,0.38,
甘,gān,,none,,,,,2,2,"32,80",32,80,0.38,
甫,fǔ,origin/father,apparatus,1/1,,,,2,1,21,21,21,0.38,
甲,jiǎ,,none,,,,,2,2,"50,80",50,80,0.38,
異,yì,am different,apparatus,1/1,,,,2,2,"1,20",1,20,0.38,
疏,shū,,none,,,,,2,2,"56,73",56,73,0.38,
發,fā,,none,,,,,2,2,"12,39",12,39,0.38,
稽,jī,,none,,,,,2,1,65,65,65,0.38,
穀,gǔ,,none,,,,,2,2,"39,42",39,42,0.38,
窮,qióng,,none,,,,,2,2,"5,45",5,45,0.38,
笑,xiào,,none,,,,,2,1,41,41,41,0.38,
紛,fēn,,none,,,,,2,2,"4,56",4,56,0.38,
結,jié,tying/knotting,apparatus,1/1,,,,2,2,"27,80",27,80,0.38,
綿,Mián,,none,,,,,2,1,6,6,6,0.38,
耳,ěr,ears,apparatus,1/1,,,,2,2,"12,49",12,49,0.38,
聽,Tīng,Listening to,apparatus,1/1,,,,2,2,"14,35",14,35,0.38,
脆,cuì,,none,,,,,2,2,"64,76",64,76,0.38,
脫,tuō,,none,,,,,2,2,"36,54",36,54,0.38,
腹,fù,belly,covers,,belly,locked,,2,2,"3,12",3,12,0.38,glossary/xin-心.md
臂,bì,,none,,,,,2,2,"38,69",38,69,0.38,
臣,chén,,apparatus-split,1/2,,,,2,2,"18,32",18,32,0.38,
臺,tái,,none,,,,,2,2,"20,64",20,64,0.38,
芸,yún,,none,,,,,2,1,16,16,16,0.38,
芻,chú,,none,,,,,2,1,5,5,5,0.38,
華,huá,,none,,,,,2,1,38,38,38,0.38,
薄,bó,,none,,,,,2,1,38,38,38,0.38,
虎,hǔ,,none,,,,,2,1,50,50,50,0.38,
被,pèi,,none,,,,,2,2,"50,70",50,70,0.38,
補,bǔ,,none,,,,,2,1,77,77,77,0.38,
襲,xí,inheriting/wearing,apparatus,1/1,,,,2,2,"27,52",27,52,0.38,
謀,móu,,none,,,,,2,2,"64,73",64,73,0.38,
谿,xī,,apparatus-split,1/2,,,,2,1,28,28,28,0.38,
資,zī,raw material/resource,apparatus,2/2,,,,2,1,27,27,27,0.38,
起,qǐ,,none,,,,,2,2,"57,64",57,64,0.38,
迷,mí,confused/lost,apparatus,1/1,,,,2,2,"27,58",27,58,0.38,
逝,shì,,apparatus-split,1/2,,,,2,1,25,25,25,0.38,
遂,suì,,apparatus-split,1/2,,,,2,2,"9,17",9,17,0.38,
間,jiān,,none,,,,,2,2,"5,43",5,43,0.38,
除,chú,clearing,apparatus,1/1,,,,2,2,"10,53",10,53,0.38,
雌,cí,,apparatus-split,1/2,,,,2,2,"10,28",10,28,0.38,
靈,líng,,none,,,,,2,1,39,39,39,0.38,
飢,jī,,none,,,,,2,1,75,75,75,0.38,
養,yǎng,,none,,,,,2,2,"34,51",34,51,0.38,
首,shǒu,head/front,apparatus,1/1,,,,2,2,"14,38",14,38,0.38,
馳,Chí,,none,,,,,2,2,"12,43",12,43,0.38,
騁,chěng,,none,,,,,2,2,"12,43",12,43,0.38,
驕,jiāo,,apparatus-split,1/2,,,,2,2,"9,30",9,30,0.38,
骨,gǔ,,none,,,,,2,2,"3,55",3,55,0.38,
鬼,guǐ,,none,,,,,2,1,60,60,60,0.38,
丈,zhàng,,none,,,,,1,1,38,38,38,0.19,
並,bìng,simultaneously,apparatus,1/1,,,,1,1,16,16,16,0.19,
九,Jiǔ,,none,,,,,1,1,64,64,64,0.19,
享,xiǎng,,none,,,,,1,1,20,20,20,0.19,
亭,tíng,,none,,,,,1,1,51,51,51,0.19,
什,shí,,none,,,,,1,1,80,80,80,0.19,
介,jiè,,none,,,,,1,1,53,53,53,0.19,
企,Qǐ,Tiptoeing,apparatus,1/1,,,,1,1,24,24,24,0.19,
伎,jì,,none,,,,,1,1,57,57,57,0.19,
伏,fú,,none,,,,,1,1,58,58,58,0.19,
伯,bǎi,,none,,,,,1,1,80,80,80,0.19,
佐,zuǒ,assist,apparatus,1/1,,,,1,1,30,30,30,0.19,
佳,jiā,fine/beautiful,apparatus,1/1,,,,1,1,31,31,31,0.19,
侮,wǔ,despise/insult,apparatus,1/1,,,,1,1,17,17,17,0.19,
倉,cāng,,none,,,,,1,1,53,53,53,0.19,
倍,bèi,fold,apparatus,1/1,,,,1,1,19,19,19,0.19,
倚,yǐ,,none,,,,,1,1,58,58,58,0.19,
偏,Piān,,none,,,,,1,1,31,31,31,0.19,
偷,tōu,,none,,,,,1,1,41,41,41,0.19,
偽,wěi,hypocrisy/falseness,apparatus,1/1,,,,1,1,18,18,18,0.19,
儼,Yǎn,Reserved/dignified,apparatus,1/1,,,,1,1,15,15,15,0.19,
免,miǎn,,none,,,,,1,1,62,62,62,0.19,
六,Liù,six,apparatus,1/1,,,,1,1,18,18,18,0.19,
共,gòng,share/unite,apparatus,1/1,,,,1,1,11,11,11,0.19,
兼,jiān,,none,,,,,1,1,61,61,61,0.19,
冥,míng,obscure/dim,apparatus,1/1,,,,1,1,21,21,21,0.19,
冬,dōng,,none,,,,,1,1,15,15,15,0.19,
冰,bīng,ice,apparatus,1/1,,,,1,1,15,15,15,0.19,
刃,rèn,,none,,,,,1,1,50,50,50,0.19,
劌,guì,,none,,,,,1,1,58,58,58,0.19,
劍,jiàn,,none,,,,,1,1,53,53,53,0.19,
加,jiā,,none,,,,,1,1,62,62,62,0.19,
勢,shì,,none,,,,,1,1,51,51,51,0.19,
千,Qiān,,none,,,,,1,1,64,64,64,0.19,
卻,què,,none,,,,,1,1,46,46,46,0.19,
召,zhào,,none,,,,,1,1,73,73,73,0.19,
吉,Jí,,none,,,,,1,1,31,31,31,0.19,
含,Hán,,none,,,,,1,1,55,55,55,0.19,
吹,chuī,blow/breathe easy,apparatus,1/1,,,,1,1,29,29,29,0.19,
周,Zhōu,Circulating/everywhere,apparatus,1/1,,,,1,1,25,25,25,0.19,
嗄,shà,,none,,,,,1,1,55,55,55,0.19,
圖,Tú,,none,,,,,1,1,63,63,63,0.19,
土,tǔ,,none,,,,,1,1,64,64,64,0.19,
均,jūn,equalize/harmonize,apparatus,1/1,,,,1,1,32,32,32,0.19,
坐,zuò,,none,,,,,1,1,62,62,62,0.19,
垢,gòu,,none,,,,,1,1,78,78,78,0.19,
埏,Yán,Kneading,apparatus,1/1,,,,1,1,11,11,11,0.19,
域,Yù,,none,,,,,1,1,25,25,25,0.19,
埴,zhí,clay,apparatus,1/1,,,,1,1,11,11,11,0.19,
基,jī,,none,,,,,1,1,39,39,39,0.19,
堂,táng,hall,apparatus,1/1,,,,1,1,9,9,9,0.19,
報,bào,,none,,,,,1,1,63,63,63,0.19,
壽,shòu,has true longevity,apparatus,1/1,,,,1,1,33,33,33,0.19,
外,wài,puts outside,apparatus,1/1,,,,1,1,7,7,7,0.19,
央,yāng,reached the center/end,apparatus,1/1,,,,1,1,20,20,20,0.19,
夸,kuā,,none,,,,,1,1,53,53,53,0.19,
奢,shē,extravagant,apparatus,1/1,,,,1,1,29,29,29,0.19,
奧,ào,,none,,,,,1,1,62,62,62,0.19,
奪,duó,,none,,,,,1,1,36,36,36,0.19,
妄,Wàng,Recklessly,apparatus,1/1,,,,1,1,16,16,16,0.19,
妖,yāo,,none,,,,,1,1,58,58,58,0.19,
妨,fáng,be hindered/harmed,apparatus,1/1,,,,1,1,12,12,12,0.19,
孔,Kǒng,,none,,,,,1,1,21,21,21,0.19,
字,zì,style/character,apparatus,1/1,,,,1,1,25,25,25,0.19,
孫,sūn,,none,,,,,1,1,54,54,54,0.19,
官,guān,,none,,,,,1,1,28,28,28,0.19,
宜,yí,,none,,,,,1,1,61,61,61,0.19,
寂,Jì,Silent/still,apparatus,1/1,,,,1,1,25,25,25,0.19,
寄,jì,entrusted,apparatus,1/1,,,,1,1,13,13,13,0.19,
寒,hán,,none,,,,,1,1,45,45,45,0.19,
寥,liáo,empty/void,apparatus,1/1,,,,1,1,25,25,25,0.19,
寸,cùn,,none,,,,,1,1,69,69,69,0.19,
專,Zhuān,Concentrating,apparatus,1/1,,,,1,1,10,10,10,0.19,
尤,yóu,blame/fault,apparatus,1/1,,,,1,1,8,8,8,0.19,
尺,chǐ,,none,,,,,1,1,69,69,69,0.19,
層,céng,,none,,,,,1,1,64,64,64,0.19,
屬,shǔ,,none,,,,,1,1,19,19,19,0.19,
市,shì,,none,,,,,1,1,62,62,62,0.19,
帝,dì,,none,,,,,1,1,4,4,4,0.19,
帶,dài,,none,,,,,1,1,53,53,53,0.19,
平,ping,,none,,,,,1,1,35,35,35,0.19,
年,nián,year,apparatus,1/1,,,,1,1,30,30,30,0.19,
廉,lián,,none,,,,,1,1,58,58,58,0.19,
弊,bì,,none,,,,,1,1,45,45,45,0.19,
弓,gōng,,none,,,,,1,1,77,77,77,0.19,
徑,jìng,,none,,,,,1,1,53,53,53,0.19,
徙,xǐ,,none,,,,,1,1,80,80,80,0.19,
御,yù,manage/control,apparatus,1/1,,,,1,1,14,14,14,0.19,
徹,chè,,none,,,,,1,1,79,79,79,0.19,
徼,jiào,,none,,,,,1,1,1,1,1,0.19,
忌,jì,,none,,,,,1,1,57,57,57,0.19,
忒,tè,deviate/err,apparatus,1/1,,,,1,1,28,28,28,0.19,
怒,nù,,none,,,,,1,1,68,68,68,0.19,
恬,tián,,none,,,,,1,1,31,31,31,0.19,
悠,Yōu,Distant/careful,apparatus,1/1,,,,1,1,17,17,17,0.19,
悲,bēi,sorrow,apparatus,1/1,,,,1,1,31,31,31,0.19,
惑,huò,confused/deluded,apparatus,1/1,,,,1,1,22,22,22,0.19,
慎,Shèn,,none,,,,,1,1,64,64,64,0.19,
慧,huì,intelligence,apparatus,1/1,,,,1,1,18,18,18,0.19,
憂,yōu,sorrow/worries,apparatus,1/1,,,,1,1,20,20,20,0.19,
懷,huái,,none,,,,,1,1,70,70,70,0.19,
懼,jù,,none,,,,,1,1,74,74,74,0.19,
戎,róng,,none,,,,,1,1,46,46,46,0.19,
手,shǒu,,none,,,,,1,1,74,74,74,0.19,
抑,yì,,none,,,,,1,1,77,77,77,0.19,
投,tóu,,none,,,,,1,1,50,50,50,0.19,
抗,kàng,,none,,,,,1,1,69,69,69,0.19,
折,zhé,,none,,,,,1,1,76,76,76,0.19,
拔,bá,,none,,,,,1,1,54,54,54,0.19,
拙,zhuō,,none,,,,,1,1,45,45,45,0.19,
拱,gǒng,,none,,,,,1,1,62,62,62,0.19,
推,tuī,,none,,,,,1,1,66,66,66,0.19,
握,wò,,none,,,,,1,1,55,55,55,0.19,
揣,chuǎi,hammering/feeling,apparatus,1/1,,,,1,1,9,9,9,0.19,
據,jù,,none,,,,,1,1,55,55,55,0.19,
攝,shè,,none,,,,,1,1,50,50,50,0.19,
攫,jué,,none,,,,,1,1,55,55,55,0.19,
改,gǎi,changing/altering,apparatus,1/1,,,,1,1,25,25,25,0.19,
攻,gōng,,none,,,,,1,1,78,78,78,0.19,
敝,Bì,Worn out/old,apparatus,1/1,,,,1,1,22,22,22,0.19,
敦,Dūn,Solid/genuine,apparatus,1/1,,,,1,1,15,15,15,0.19,
施,shī,,none,,,,,1,1,53,53,53,0.19,
昔,Xī,,none,,,,,1,1,39,39,39,0.19,
春,chūn,in spring,apparatus,1/1,,,,1,1,20,20,20,0.19,
時,shí,good at timing,apparatus,1/1,,,,1,1,8,8,8,0.19,
晚,wǎn,,none,,,,,1,1,41,41,41,0.19,
普,pǔ,,none,,,,,1,1,54,54,54,0.19,
曠,Kuàng,Broad/expansive,apparatus,1/1,,,,1,1,15,15,15,0.19,
朘,zuī,,none,,,,,1,1,55,55,55,0.19,
望,wàng,,none,,,,,1,1,80,80,80,0.19,
末,mò,,none,,,,,1,1,64,64,64,0.19,
枉,Wǎng,Wronged/bent,apparatus,1/1,,,,1,1,22,22,22,0.19,
枯,kū,,none,,,,,1,1,76,76,76,0.19,
柢,dǐ,,none,,,,,1,1,59,59,59,0.19,
梁,liáng,,none,,,,,1,1,42,42,42,0.19,
棘,jí,,none,,,,,1,1,30,30,30,0.19,
楗,jiàn,,none,,,,,1,1,27,27,27,0.19,
槁,gǎo,,none,,,,,1,1,76,76,76,0.19,
橐,tuó,,none,,,,,1,1,5,5,5,0.19,
歇,xiē,,none,,,,,1,1,39,39,39,0.19,
歔,xū,pant/breathe heavy,apparatus,1/1,,,,1,1,29,29,29,0.19,
武,wǔ,,none,,,,,1,1,68,68,68,0.19,
殃,yāng,,none,,,,,1,1,52,52,52,0.19,
比,bǐ,,none,,,,,1,1,55,55,55,0.19,
毫,háo,,none,,,,,1,1,64,64,64,0.19,
汎,fàn,overflows/floods,apparatus,1/1,,,,1,1,34,34,34,0.19,
況,kuàng,how much more/let alone,apparatus,1/1,,,,1,1,23,23,23,0.19,
泊,bó,am anchored/still,apparatus,1/1,,,,1,1,20,20,20,0.19,
泣,qì,,none,,,,,1,1,31,31,31,0.19,
注,zhù,,none,,,,,1,1,49,49,49,0.19,
泮,pàn,,none,,,,,1,1,64,64,64,0.19,
泰,tài,excessive,apparatus,1/1,,,,1,1,29,29,29,0.19,
活,huó,,none,,,,,1,1,73,73,73,0.19,
流,liú,,none,,,,,1,1,61,61,61,0.19,
涉,shè,crossing,apparatus,1/1,,,,1,1,15,15,15,0.19,
渙,Huàn,Yielding/melting,apparatus,1/1,,,,1,1,15,15,15,0.19,
渝,yú,,none,,,,,1,1,41,41,41,0.19,
渾,hún,,none,,,,,1,1,49,49,49,0.19,
湛,Zhàn,,none,,,,,1,1,4,4,4,0.19,
滅,miè,,none,,,,,1,1,39,39,39,0.19,
滌,Dí,Washing,apparatus,1/1,,,,1,1,10,10,10,0.19,
滿,mǎn,filling,apparatus,1/1,,,,1,1,9,9,9,0.19,
澹,Dàn,Tranquil/drifting,apparatus,1/1,,,,1,1,20,20,20,0.19,
濟,ji,,none,,,,,1,1,52,52,52,0.19,
烹,pēng,,none,,,,,1,1,60,60,60,0.19,
熱,rè,,none,,,,,1,1,45,45,45,0.19,
燕,Yàn,Peacefully,apparatus,1/1,,,,1,1,26,26,26,0.19,
營,yíng,vital/encampment,apparatus,1/1,,,,1,1,10,10,10,0.19,
爪,zhǎo,,none,,,,,1,1,50,50,50,0.19,
父,fù,,none,,,,,1,1,42,42,42,0.19,
爽,shuǎng,dull/spoiled,apparatus,1/1,,,,1,1,12,12,12,0.19,
牢,láo,,none,,,,,1,1,20,20,20,0.19,
犬,quǎn,,none,,,,,1,1,80,80,80,0.19,
狂,kuáng,,none,,,,,1,1,12,12,12,0.19,
狎,xiá,,none,,,,,1,1,72,72,72,0.19,
猛,měng,,none,,,,,1,1,55,55,55,0.19,
獵,liè,,none,,,,,1,1,12,12,12,0.19,
獸,shòu,,none,,,,,1,1,55,55,55,0.19,
瑕,xiá,flaws/blemishes,apparatus,1/1,,,,1,1,27,27,27,0.19,
璧,bì,,none,,,,,1,1,62,62,62,0.19,
田,tián,,none,,,,,1,1,53,53,53,0.19,
畋,tián,,none,,,,,1,1,12,12,12,0.19,
疵,cī,flaw/blemish,apparatus,1/1,,,,1,1,10,10,10,0.19,
登,dēng,,none,,,,,1,1,20,20,20,0.19,
皦,jiǎo,bright/dazzling,apparatus,1/1,,,,1,1,14,14,14,0.19,
盲,máng,blind,apparatus,1/1,,,,1,1,12,12,12,0.19,
短,duǎn,,none,,,,,1,1,2,2,2,0.19,
石,shí,,none,,,,,1,1,39,39,39,0.19,
示,shì,,none,,,,,1,1,36,36,36,0.19,
社,shè,,none,,,,,1,1,78,78,78,0.19,
祀,sì,,none,,,,,1,1,54,54,54,0.19,
祭,jì,,none,,,,,1,1,54,54,54,0.19,
稅,shuì,,none,,,,,1,1,75,75,75,0.19,
稱,chēng,,none,,,,,1,1,42,42,42,0.19,
稷,jì,,none,,,,,1,1,78,78,78,0.19,
窈,Yǎo,Deep/dark,apparatus,1/1,,,,1,1,21,21,21,0.19,
窪,Wā,Hollow/low,apparatus,1/1,,,,1,1,22,22,22,0.19,
竭,jié,,none,,,,,1,1,39,39,39,0.19,
筋,jīn,,none,,,,,1,1,55,55,55,0.19,
策,cè,,none,,,,,1,1,27,27,27,0.19,
篤,dǔ,firmly/sincerely,apparatus,1/1,,,,1,1,16,16,16,0.19,
籌,chóu,,none,,,,,1,1,27,27,27,0.19,
籥,yuè,,none,,,,,1,1,5,5,5,0.19,
糞,fèn,,none,,,,,1,1,46,46,46,0.19,
紀,jì,,none,,,,,1,1,14,14,14,0.19,
約,yuē,,none,,,,,1,1,27,27,27,0.19,
