component,pinyin,gloss,role,gloss_status,builds_characters,characters
弘,,,phonetic,"no gloss needed: present for sound, not meaning",1,強
彗,,,phonetic,"no gloss needed: present for sound, not meaning",1,慧
復,Fù,,phonetic,the apparatus glosses this character several ways and none won a majority,1,覆
微,wēi,,phonetic,the apparatus glosses this character several ways and none won a majority,1,豈
徹,chè,,phonetic,"no gloss needed: present for sound, not meaning",1,轍
戊,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,成
戌,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,威
戍,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,幾
成,chéng,,phonetic,the apparatus glosses this character several ways and none won a majority,1,誠
我,Wǒ,the self seen,semantic,glossed,1,義
戔,,,phonetic,"no gloss needed: present for sound, not meaning",1,賤
或,huò,sometimes,phonetic,glossed,1,惑
或,huò,sometimes,semantic,glossed,1,國
戠,,,phonetic,"no gloss needed: present for sound, not meaning",1,識
戴,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,甲
戶,hù,doors,phonetic,glossed,1,所
戶,hù,doors,semantic,glossed,1,門
扁,,,phonetic,"no gloss needed: present for sound, not meaning",1,偏
折,zhé,,phonetic,"no gloss needed: present for sound, not meaning",1,逝
推,tuī,,semantic,not yet glossed — see sources/component-glosses.yaml,1,棄
支,,,phonetic,"no gloss needed: present for sound, not meaning",1,伎
敖,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,贅
敝,Bì,Worn out/old,phonetic,glossed,1,蔽
敬,,,phonetic,"no gloss needed: present for sound, not meaning",1,驚
數,shù,,semantic,not yet glossed — see sources/component-glosses.yaml,1,三
文,wén,culture/adornment,semantic,glossed,1,民
斦,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,質
新,xīn,,phonetic,the apparatus glosses this character several ways and none won a majority,1,新
方,fāng,,phonetic,"no gloss needed: present for sound, not meaning",1,妨
旨,,,phonetic,"no gloss needed: present for sound, not meaning",1,稽
早,zǎo,,phonetic,"no gloss needed: present for sound, not meaning",1,草
昆,,,phonetic,"no gloss needed: present for sound, not meaning",1,混
昜,,,phonetic,"no gloss needed: present for sound, not meaning",1,陽
曾,,,phonetic,"no gloss needed: present for sound, not meaning",1,層
有,yǒu,presence,semantic,glossed,1,骨
朕,,,phonetic,"no gloss needed: present for sound, not meaning",1,勝
朢,,,phonetic,"no gloss needed: present for sound, not meaning",1,望
未,wèi,,semantic,the apparatus glosses this character several ways and none won a majority,1,制
朿,cì,a thorn,semantic,glossed,1,棘
杀,,,phonetic,"no gloss needed: present for sound, not meaning",1,殺
杖,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,父
東,,,phonetic,"no gloss needed: present for sound, not meaning",1,重
某,,,phonetic,"no gloss needed: present for sound, not meaning",1,謀
條,,,phonetic,"no gloss needed: present for sound, not meaning",1,滌
棄,qì,abandon,semantic,glossed,1,棄
次,cì,,phonetic,"no gloss needed: present for sound, not meaning",1,資
止,zhǐ,stopping point,phonetic,glossed,1,企
正,zhèng,,phonetic,"no gloss needed: present for sound, not meaning",1,政
正,zhèng,,semantic,not yet glossed — see sources/component-glosses.yaml,1,政
歲,,,phonetic,"no gloss needed: present for sound, not meaning",1,劌
殘,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,昔
殸,,,phonetic,"no gloss needed: present for sound, not meaning",1,聲
每,,,phonetic,"no gloss needed: present for sound, not meaning",1,海
毐,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,毒
比,bǐ,,semantic,not yet glossed — see sources/component-glosses.yaml,1,皆
氐,,,phonetic,"no gloss needed: present for sound, not meaning",1,柢
氐,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,昏
气,,,phonetic,"no gloss needed: present for sound, not meaning",1,氣
求,qiú,,phonetic,"no gloss needed: present for sound, not meaning",1,救
決,,,phonetic,"no gloss needed: present for sound, not meaning",1,缺
溥,,,phonetic,"no gloss needed: present for sound, not meaning",1,薄
灰,,,phonetic,"no gloss needed: present for sound, not meaning",1,恢
炎,,,phonetic,"no gloss needed: present for sound, not meaning",1,淡
炎,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,黑
爭,zhēng,contend / contention,phonetic,glossed,1,靜
爯,,,phonetic,"no gloss needed: present for sound, not meaning",1,稱
父,fù,,phonetic,"no gloss needed: present for sound, not meaning",1,甫
片,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,牖
牙,,,phonetic,"no gloss needed: present for sound, not meaning",1,邪
犮,,,phonetic,"no gloss needed: present for sound, not meaning",1,拔
猒,,,phonetic,"no gloss needed: present for sound, not meaning",1,厭
王,wáng,ruler / sovereign · to rule (verb),semantic,glossed,1,寶
瓜,,,phonetic,"no gloss needed: present for sound, not meaning",1,孤
甘,gān,,semantic,not yet glossed — see sources/component-glosses.yaml,1,甚
甚,shèn,,phonetic,the apparatus glosses this character several ways and none won a majority,1,湛
甛,,,phonetic,"no gloss needed: present for sound, not meaning",1,恬
生,shēng,give birth to / bear / bring forth,phonetic,glossed,1,姓
生,shēng,give birth to / bear / bring forth,semantic,glossed,1,姓
甲,jiǎ,,phonetic,"no gloss needed: present for sound, not meaning",1,狎
甶,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,畏
甹,,,phonetic,"no gloss needed: present for sound, not meaning",1,騁
甾,,,phonetic,"no gloss needed: present for sound, not meaning",1,輜
畀,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,異
畟,,,phonetic,"no gloss needed: present for sound, not meaning",1,稷
畱,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,坐
疋,,,phonetic,"no gloss needed: present for sound, not meaning",1,疏
疋,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,疏
癶,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,登
癹,,,phonetic,"no gloss needed: present for sound, not meaning",1,發
發,fā,,phonetic,"no gloss needed: present for sound, not meaning",1,廢
白,bái,white/light,semantic,glossed,1,皦
皀,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,食
皿,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,盈
盍,,,phonetic,"no gloss needed: present for sound, not meaning",1,闔
監,,,phonetic,"no gloss needed: present for sound, not meaning",1,覽
直,zhí,straight,phonetic,glossed,1,埴
眞,,,phonetic,"no gloss needed: present for sound, not meaning",1,慎
睪,,,phonetic,"no gloss needed: present for sound, not meaning",1,釋
瞏,,,phonetic,"no gloss needed: present for sound, not meaning",1,還
瞿,,,phonetic,"no gloss needed: present for sound, not meaning",1,懼
矍,,,phonetic,"no gloss needed: present for sound, not meaning",1,攫
矛,,,phonetic,"no gloss needed: present for sound, not meaning",1,柔
矛,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,矜
示,shì,,phonetic,"no gloss needed: present for sound, not meaning",1,奈
禺,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,愚
离,,,phonetic,"no gloss needed: present for sound, not meaning",1,離
禾,hé,standing grain,phonetic,glossed,1,和
秝,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,兼
穴,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,窈
立,lì,,phonetic,the apparatus glosses this character several ways and none won a majority,1,泣
章,,,phonetic,"no gloss needed: present for sound, not meaning",1,彰
章,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,彰
竹,zhú,bamboo,phonetic,glossed,1,篤
米,mǐ,grains of rice,phonetic,glossed,1,迷
粦,,,phonetic,"no gloss needed: present for sound, not meaning",1,鄰
缶,fǒu,an earthenware jar,phonetic,glossed,1,寶
缶,fǒu,an earthenware jar,semantic,glossed,1,缺
罙,,,phonetic,"no gloss needed: present for sound, not meaning",1,深
羍,,,phonetic,"no gloss needed: present for sound, not meaning",1,達
羴,,,phonetic,"no gloss needed: present for sound, not meaning",1,鮮
翄,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,非
翏,,,phonetic,"no gloss needed: present for sound, not meaning",1,飂
翕,,,phonetic,"no gloss needed: present for sound, not meaning",1,歙
者,zhě,those,phonetic,glossed,1,奢
者,zhě,those,semantic,glossed,1,居
耑,,,phonetic,"no gloss needed: present for sound, not meaning",1,揣
耦,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,甚
聚,,,phonetic,"no gloss needed: present for sound, not meaning",1,驟
聶,,,phonetic,"no gloss needed: present for sound, not meaning",1,攝
聿,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,建
肉,ròu,flesh,phonetic,glossed,1,育
肰,,,phonetic,"no gloss needed: present for sound, not meaning",1,然
育,yù,,semantic,not yet glossed — see sources/component-glosses.yaml,1,徹
胃,,,phonetic,"no gloss needed: present for sound, not meaning",1,謂
臤,,,phonetic,"no gloss needed: present for sound, not meaning",1,賢
臤,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,堅
臾,,,phonetic,"no gloss needed: present for sound, not meaning",1,貴
舁,yú,four hands lifting together,phonetic,glossed,1,輿
與,yǔ,,phonetic,the apparatus glosses this character several ways and none won a majority,1,譽
舉,jǔ,,semantic,not yet glossed — see sources/component-glosses.yaml,1,父
舍,,,phonetic,"no gloss needed: present for sound, not meaning",1,捨
舟,zhōu,,phonetic,"no gloss needed: present for sound, not meaning",1,受
艮,,,phonetic,"no gloss needed: present for sound, not meaning",1,根
若,ruò,,phonetic,the apparatus glosses this character several ways and none won a majority,1,諾
茻,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,莫
菐,,,phonetic,"no gloss needed: present for sound, not meaning",1,樸
虍,,,phonetic,"no gloss needed: present for sound, not meaning",1,虛
虍,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,虎
虎,hǔ,,semantic,not yet glossed — see sources/component-glosses.yaml,1,號
虚,,,phonetic,"no gloss needed: present for sound, not meaning",1,歔
蠅,,,phonetic,"no gloss needed: present for sound, not meaning",1,繩
衣,Yī,,phonetic,"no gloss needed: present for sound, not meaning",1,哀
袁,,,phonetic,"no gloss needed: present for sound, not meaning",1,遠
褱,,,phonetic,"no gloss needed: present for sound, not meaning",1,懷
襄,,,phonetic,"no gloss needed: present for sound, not meaning",1,攘
襾,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,覆
規,,,phonetic,"no gloss needed: present for sound, not meaning",1,闚
角,jiǎo,,semantic,not yet glossed — see sources/component-glosses.yaml,1,解
詹,,,phonetic,"no gloss needed: present for sound, not meaning",1,澹
誩,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,善
說,,,phonetic,"no gloss needed: present for sound, not meaning",1,閱
谷,Gǔ,,semantic,the apparatus glosses this character several ways and none won a majority,1,谿
豆,,,phonetic,"no gloss needed: present for sound, not meaning",1,短
豊,,,phonetic,"no gloss needed: present for sound, not meaning",1,禮
豊,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,禮
豦,,,phonetic,"no gloss needed: present for sound, not meaning",1,據
豭,,,phonetic,"no gloss needed: present for sound, not meaning",1,家
責,zé,,phonetic,"no gloss needed: present for sound, not meaning",1,積
赦,,,phonetic,"no gloss needed: present for sound, not meaning",1,螫
路,,,phonetic,"no gloss needed: present for sound, not meaning",1,露
軍,jūn,army/campaign,phonetic,glossed,1,渾
辛,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,宰
辡,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,辯
辰,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,辱
違,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,金
酉,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,配
酋,,,phonetic,"no gloss needed: present for sound, not meaning",1,猶
釆,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,釋
重,Zhòng,Heavy/mass,phonetic,glossed,1,動
重,Zhòng,Heavy/mass,semantic,glossed,1,多
長,cháng,,phonetic,the apparatus glosses this character several ways and none won a majority,1,張
閒,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,辯
閵,,,phonetic,"no gloss needed: present for sound, not meaning",1,進
隨,suí,,semantic,the apparatus glosses this character several ways and none won a majority,1,如
雚,,,phonetic,"no gloss needed: present for sound, not meaning",1,觀
雨,yǔ,,semantic,not yet glossed — see sources/component-glosses.yaml,1,露
雲,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,雨
青,qīng,"blue-green, the colour of growing things",semantic,glossed,1,靜
非,fēi,they are not,phonetic,glossed,1,悲
革,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,金
韋,,,phonetic,"no gloss needed: present for sound, not meaning",1,諱
韋,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,弗
頒,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,寡
頪,,,phonetic,"no gloss needed: present for sound, not meaning",1,纇
飛,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,非
鬼,guǐ,,semantic,not yet glossed — see sources/component-glosses.yaml,1,魄
魚,Yú,,semantic,not yet glossed — see sources/component-glosses.yaml,1,鮮
黃,,,phonetic,"no gloss needed: present for sound, not meaning",1,廣
齊,,,phonetic,"no gloss needed: present for sound, not meaning",1,濟
龖,,,phonetic,"no gloss needed: present for sound, not meaning",1,襲
龠,,,phonetic,"no gloss needed: present for sound, not meaning",1,籥
𠂆,,,phonetic,"no gloss needed: present for sound, not meaning",1,身
𠂇,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,左
𠂤,,,phonetic,"no gloss needed: present for sound, not meaning",1,歸
𠃉,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,孔
𠄒,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,我
𠄞,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,示
𠌶,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,華
𠔼,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,同
𠙴,,,phonetic,"no gloss needed: present for sound, not meaning",1,去
𠛱,,,phonetic,"no gloss needed: present for sound, not meaning",1,裂
𠤎,,,phonetic,"no gloss needed: present for sound, not meaning",1,化
𠦒,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,棄
𠬝,,,phonetic,"no gloss needed: present for sound, not meaning",1,服
𠬝,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,報
𠬸,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,没
𠯑,,,phonetic,"no gloss needed: present for sound, not meaning",1,活
𠷎,,,phonetic,"no gloss needed: present for sound, not meaning",1,壽
𡋲,,,phonetic,"no gloss needed: present for sound, not meaning",1,挫
𡏳,,,phonetic,"no gloss needed: present for sound, not meaning",1,勤
𡐦,,,phonetic,"no gloss needed: present for sound, not meaning",1,隨
𡧍,,,phonetic,"no gloss needed: present for sound, not meaning",1,賓
𡨄,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,塞
𡴀,,,phonetic,"no gloss needed: present for sound, not meaning",1,奉
𡿮,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,疏
𢀜,,,phonetic,"no gloss needed: present for sound, not meaning",1,恐
𢆶,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,幾
𢇅,,,phonetic,"no gloss needed: present for sound, not meaning",1,關
𢍏,,,phonetic,"no gloss needed: present for sound, not meaning",1,奧
𢚧,,,phonetic,"no gloss needed: present for sound, not meaning",1,憂
𢼸,,,phonetic,"no gloss needed: present for sound, not meaning",1,微
𣆪,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,厚
𣎆,,,phonetic,"no gloss needed: present for sound, not meaning",1,羸
𣥐,,,phonetic,"no gloss needed: present for sound, not meaning",1,者
𣫭,,,phonetic,"no gloss needed: present for sound, not meaning",1,侮
𤇳,,,phonetic,"no gloss needed: present for sound, not meaning",1,滅
𤓽,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,保
𤖕,,,phonetic,"no gloss needed: present for sound, not meaning",1,將
𤸰,,,phonetic,"no gloss needed: present for sound, not meaning",1,應
𥏻,,,phonetic,"no gloss needed: present for sound, not meaning",1,傷
𥝌,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,稽
𥽿,,,phonetic,"no gloss needed: present for sound, not meaning",1,鑿
𦥑,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,要
𩠐,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,道
