component,pinyin,gloss,role,gloss_status,builds_characters,characters
隹,zhuī,a short-tailed bird,phonetic,glossed,4,"唯,惟,推,誰"
隹,zhuī,a short-tailed bird,semantic,glossed,4,"雄,雌,雞,離"
食,shí,,semantic,the apparatus glosses this character several ways and none won a majority,4,"倉,飢,養,餘"
㞷,,,phonetic,"no gloss needed: present for sound, not meaning",3,"往,枉,狂"
丂,,,semantic,not yet glossed — see sources/component-glosses.yaml,3,"兮,可,寧"
之,zhī,it,phonetic,glossed,3,"事,市,志"
乚,,,semantic,not yet glossed — see sources/component-glosses.yaml,3,"亡,直,真"
也,yě,particle,phonetic,glossed,3,"地,施,馳"
亼,jí,to gather together,semantic,glossed,3,"今,令,合"
今,jīn,,phonetic,the apparatus glosses this character several ways and none won a majority,3,"含,矜,金"
余,yú,"a shelter; and, borrowed, 'I'",phonetic,glossed,3,"徐,除,餘"
兌,duì,,phonetic,"no gloss needed: present for sound, not meaning",3,"稅,脫,銳"
冂,jiōng,"the far borders, open country",semantic,glossed,3,"央,市,高"
匕,bǐ,"a spoon, a ladle",semantic,glossed,3,"此,長,鳥"
古,gǔ,ancient,phonetic,glossed,3,"固,故,枯"
台,,,phonetic,"no gloss needed: present for sound, not meaning",3,"始,殆,治"
夊,suī,"walking slowly, dragging the feet",semantic,glossed,3,"愛,憂,致"
寺,,,phonetic,"no gloss needed: present for sound, not meaning",3,"恃,持,時"
尚,shàng,still,phonetic,glossed,3,"堂,常,當"
尸,shī,a body laid out; a seated figure,semantic,glossed,3,"尺,居,層"
工,gōng,"a carpenter's square — work, craft",phonetic,glossed,3,"功,攻,江"
工,gōng,"a carpenter's square — work, craft",semantic,glossed,3,"功,巧,式"
己,jǐ,,phonetic,"no gloss needed: present for sound, not meaning",3,"忌,紀,配"
广,yǎn,a shelter built against a bank,semantic,glossed,3,"廉,廢,廣"
弓,gōng,,semantic,not yet glossed — see sources/component-glosses.yaml,3,"夷,張,發"
彡,shān,fine hair; ornamental strokes,semantic,glossed,3,"修,形,彰"
才,cái,a sprout breaking the ground,phonetic,glossed,3,"在,存,財"
曷,,,phonetic,"no gloss needed: present for sound, not meaning",3,"歇,竭,褐"
朿,cì,a thorn,phonetic,glossed,3,"帝,策,責"
歺,è,"splintered bone — death, decay",semantic,glossed,3,"死,殃,殆"
畐,,,phonetic,"no gloss needed: present for sound, not meaning",3,"富,福,輻"
矢,shǐ,an arrow,semantic,glossed,3,"矣,知,短"
羊,yáng,a sheep,semantic,glossed,3,"善,美,羸"
蜀,shǔ,a caterpillar,phonetic,glossed,3,"屬,濁,獨"
谷,Gǔ,,phonetic,the apparatus glosses this character several ways and none won a majority,3,"俗,卻,欲"
象,xiàng,,semantic,the apparatus glosses this character several ways and none won a majority,3,"民,甲,豫"
辟,,,phonetic,"no gloss needed: present for sound, not meaning",3,"璧,臂,譬"
高,gāo,,semantic,not yet glossed — see sources/component-glosses.yaml,3,"亭,至,臺"
丁,,,phonetic,"no gloss needed: present for sound, not meaning",2,"亭,成"
丂,,,phonetic,"no gloss needed: present for sound, not meaning",2,"可,巧"
三,Sān,three,semantic,glossed,2,"三,蟲"
並,bìng,simultaneously,semantic,glossed,2,"普,棘"
中,zhōng,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"用,莫"
乁,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"今,市"
乙,,,phonetic,"no gloss needed: present for sound, not meaning",2,"失,曰"
乙,,,semantic,not yet glossed — see sources/component-glosses.yaml,2,"亂,尺"
亡,wáng,perish,phonetic,glossed,2,"妄,盲"
亡,wáng,perish,semantic,glossed,2,"望,無"
交,jiāo,,phonetic,"no gloss needed: present for sound, not meaning",2,"要,郊"
